id,name,status,area_id,date
256,MATARI,1,123,17-04-24
257,MATHI,1,133,17-04-24
258,MATLI,1,113,17-04-24
259,MATTA,1,74,17-04-24
260,MAWAND,1,21,17-04-24
261,MEHAR,1,114,17-04-24
262,MEHRABPUR,1,125,17-04-24
263,MELSI,1,112,17-04-24
264,MIAN CHANNU,1,91,17-04-24
265,MIANWALI,1,97,17-04-24
266,MINCHAN ABAD,1,78,17-04-24
267,MIR ALI,1,45,17-04-24
268,MIRAN SHAH,1,161,17-04-24
269,MIRO KHAN,1,128,17-04-24
270,MIRPUR,1,4,17-04-24
271,MIRPUR BATHORO,1,134,17-04-24
272,MIRPUR KHAS,1,124,17-04-24
273,MIRPUR MATHAILO,1,115,17-04-24
274,MIRPUR SAKRO,1,134,17-04-24
275,MOOLA,1,20,17-04-24
276,MORO,1,125,17-04-24
277,MURID KE,1,109,17-04-24
278,MURREE TOWN,1,106,17-04-24
279,MUSAKHEL,1,25,17-04-24
280,MUSLIM BAGH,1,31,17-04-24
281,MUZAFFAR ABAD,1,5,17-04-24
282,MUZAFFARGARH,1,99,17-04-24
283,NAGAR PARKAR,1,133,17-04-24
284,NAGER 1,1,51,17-04-24
285,NAGER 2,1,51,17-04-24
286,NAGH (SUB-TEHSIL),1,35,17-04-24
287,NAL,1,20,17-04-24
288,NANKANA SAHIB,1,100,17-04-24
289,NARA (KHAIRPUR),1,121,17-04-24
290,NAROWAL,1,101,17-04-24
291,NASEERABAD,1,128,17-04-24
292,NAUSHEHRO FEROZE,1,125,17-04-24
293,NAWABSHAH,1,126,17-04-24
294,NAWAGAI,1,39,17-04-24
295,NEW CITY (SUKKAR),1,130,17-04-24
296,NOKUNDI,1,12,17-04-24
297,NOORPUR,1,92,17-04-24
298,NOWSHERA (TEHSIL),1,70,17-04-24
299,NOWSHERA VIRKAN,1,85,17-04-24
300,NUSHKI,1,27,17-04-24
301,OBARO,1,115,17-04-24
302,OGGI,1,68,17-04-24
303,OKARA,1,102,17-04-24
304,OLD CITY (SUKKUR),1,130,17-04-24
305,ORMARA,1,14,17-04-24
306,PABBI,1,70,17-04-24
307,PAHARPUR,1,59,17-04-24
308,PAKPATTAN,1,103,17-04-24
309,PALAS,1,64,17-04-24
310,PANJGUR,1,28,17-04-24
311,PANNU AAQIL,1,130,17-04-24
312,PAROA,1,59,17-04-24
313,PASNI,1,14,17-04-24
314,PASROOR,1,110,17-04-24
315,PATHAIKA,1,5,17-04-24
316,PATTAN,1,64,17-04-24
317,PATTOKI,1,90,17-04-24
318,PESHAWAR TOWN-1,1,71,17-04-24
319,PESHAWAR TOWN-2,1,71,17-04-24
320,PESHAWAR TOWN-3,1,71,17-04-24
321,PESHAWAR TOWN-4,1,71,17-04-24
322,PHALIA,1,96,17-04-24
323,PHELAWAGH,1,13,17-04-24
324,PIND DADAN KHAN,1,88,17-04-24
325,PINDI BHATTIAN,1,162,17-04-24
326,PINDI GHEB,1,77,17-04-24
327,PIPLAN,1,97,17-04-24
328,PISHIN,1,29,17-04-24
329,PITHORO,1,135,17-04-24
330,POTOHAR TOWN,1,106,17-04-24
331,PUNIAL,1,50,17-04-24
332,PURAN,1,72,17-04-24
333,QALANDRI,1,8,17-04-24
334,QASIMABAD,1,116,17-04-24
335,QILA DIDAR SINGH TOWN,1,85,17-04-24
336,QILLA ABDULLAH,1,30,17-04-24
337,QILLA SAIFULLAH,1,31,17-04-24
338,QUBO SAEED KHAN,1,128,17-04-24
339,RAHIM YAR KHAN,1,104,17-04-24
340,RAJANPUR,1,105,17-04-24
341,RATTO DERO,1,122,17-04-24
342,RAWAL TOWN,1,106,17-04-24
343,RAWLA KOT,1,163,22-04-24
344,RAZMAK,1,45,17-04-24
345,RENALA KHURD,1,102,17-04-24
346,ROHRI,1,130,17-04-24
347,ROJHAN,1,105,17-04-24
348,ROUNDU,1,52,17-04-24
349,SADIQABAD,1,104,17-04-24
350,SAEED ABAD,1,123,17-04-24
351,SAFDARABAD,1,100,17-04-24
352,SAHIWAL,1,108,17-04-24
353,SAHIWAL CITY,1,107,17-04-24
354,SAKRAND,1,126,17-04-24
355,SALAR ZAI,1,39,17-04-24
356,SALEH PAT,1,130,17-04-24
357,SAMAHNI,1,2,17-04-24
358,SAMARA BAGH,1,66,17-04-24
359,SAMARO,1,135,17-04-24
360,SAMBRIYAL,1,110,17-04-24
361,SANGHAR,1,127,17-04-24
362,SANGLA HILL,1,154,17-04-24
363,SANI,1,11,17-04-24
364,SARAI ALAMGIR,1,86,17-04-24
365,SARAI NOURANG,1,65,17-04-24
366,SARAROGHA,1,46,17-04-24
367,SARGODHA,1,108,17-04-24
368,SARWEKAI,1,46,17-04-24
369,SEHNSA,1,3,17-04-24
370,SEHWAN SHARIF,1,118,17-04-24
371,SHABQADAR,1,57,17-04-24
372,SHADAD KOT,1,128,17-04-24
373,SHAH BANDAR,1,134,17-04-24
374,SHAH KOT,1,100,17-04-24
375,SHAHDAD PUR,1,127,17-04-24
376,SHAHEED FAZIL RAHU,1,113,17-04-24
377,SHAHPUR,1,108,17-04-24
378,SHAIO GARHI (SUB-TEHSIL),1,35,17-04-24
379,SHAKAR GARH,1,153,17-04-24
380,SHARAK PUR,1,109,17-04-24
381,SHARDA,1,6,17-04-24
382,SHAWAL,1,45,17-04-24
383,SHEIKHUPURA,1,109,17-04-24
384,SHERANI,1,33,17-04-24
385,SHEWA,1,45,17-04-24
386,SHIKARPUR,1,129,17-04-24
387,SHONTER,1,47,17-04-24
388,SHORKOT,1,89,17-04-24
389,SIALKOT,1,110,17-04-24
390,SIBI,1,34,17-04-24
391,SIGHAR,1,52,17-04-24
392,SILLAN WALI,1,108,17-04-24
393,SINDHRI,1,124,17-04-24
394,SINGHORO,1,127,17-04-24
395,SINJAWI,1,37,17-04-24
396,SKARDU,1,52,17-04-24
397,SOBHODERO,1,121,17-04-24
398,SOHAWA,1,88,17-04-24
399,SOHBATPUR,1,15,17-04-24
400,SPIN WAM,1,45,17-04-24
401,SUI,1,13,17-04-24
402,SUJAWAL,1,134,17-04-24
403,SUJAWAL JUNEJO,1,128,17-04-24
404,SURAB,1,17,17-04-24
405,SWABI,1,73,17-04-24
406,SWAT,1,74,17-04-24
407,T.T. SINGH,1,111,17-04-24
408,TAKHT BHAI,1,69,17-04-24
409,TAKHT-E-NUSRATI,1,62,17-04-24
410,TALHAR,1,113,17-04-24
411,TALLA GUNG,1,81,17-04-24
412,TAMBOO,1,26,17-04-24
413,TANDO ADAM,1,127,17-04-24
414,TANDU ALLAH YAR,1,131,17-04-24
415,TANDU BAGOH,1,113,17-04-24
416,TANDU G. HAIDER,1,132,17-04-24
417,TANDU MUHAMMAD KHAN,1,132,17-04-24
418,TANGI,1,57,17-04-24
419,TANGIR,1,48,17-04-24
420,TANGWALI,1,120,17-04-24
421,TANK,1,75,17-04-24
422,TAXLA TOWN,1,106,17-04-24
423,TEMERGARAH,1,149,17-04-24
424,THALL,1,60,17-04-24
425,THANA BULLA KHAN,1,118,17-04-24
426,THARI MIR WAH,1,121,17-04-24
427,THAROHII,1,3,17-04-24
428,THATTA,1,134,17-04-24
429,THUL,1,117,17-04-24
430,TIARZA,1,46,17-04-24
431,TOI KHULLAH,1,46,17-04-24
432,TONSA SHARIF,1,83,17-04-24
433,TRARKHAL,1,8,17-04-24
434,TUMP,1,18,17-04-24
435,UMARKOT,1,135,17-04-24
436,UPPER KURRAM,1,41,17-04-24
437,UPPER MOHMAND - HALIM ZAI,1,42,17-04-24
438,UPPER MOHMAND - SAFI,1,42,17-04-24
439,UPPER ORAKZAI,1,43,17-04-24
440,USTA MUHAMMAD,1,15,17-04-24
441,UTHAL,1,22,17-04-24
442,UTMAN KHEL (QAZAFI),1,39,17-04-24
443,VEHARI,1,112,17-04-24
444,WADH,1,20,17-04-24
445,WANA,1,46,17-04-24
446,WARAH,1,128,17-04-24
447,WARI,1,76,17-04-24
448,WASUQ,1,35,17-04-24
449,WAZIRABAD,1,85,17-04-24
450,YASIN,1,50,17-04-24
451,YAZMAN,1,79,17-04-24
452,ZARGHOON TOWN,1,32,17-04-24
453,ZEHRI,1,20,17-04-24
454,ZHOB,1,36,17-04-24
455,ZIARAT,1,37,17-04-24
456,BHAGTAN WALA,1,138,17-04-24
457,DEONA MANDI,1,139,17-04-24
458,GHALANAI,1,140,17-04-24
459,GHANDHAWA,1,141,17-04-24
460,JARAN WALA,1,142,17-04-24
461,JOHAR ABAD,1,143,17-04-24
462,KHICHI WALA,1,144,17-04-24
463,MIANI,1,145,17-04-24
464,NARANG MANDI,1,146,17-04-24
465,SHUJA ABAD,1,147,17-04-24
466,SUMMANDRI,1,148,17-04-24
467,TEMERGARAH,1,149,17-04-24
468,AHMEDPUR SIAL,1,150,17-04-24
469,BATKHELA,1,151,17-04-24
470,WANA,1,152,17-04-24
471,SHAKAR GARH,1,153,17-04-24
472,SANGLA HILL,1,154,17-04-24
473,JAMPUR,1,155,17-04-24
474,MINGORA,1,156,17-04-24
475,FATEH JANG,1,158,17-04-24
476,FAISALABAD,1,84,17-04-24
477,MULTAN,1,98,22-04-24
478,LAHORE,1,93,22-04-24
479,KARACHI,1,119,02-05-24
480,MIAN CHANNU,1,165,14-06-24
481,CHAKDARA,1,166,14-06-24
482,SHAHDADPUR,1,168,12-07-24
483,PASRUR,1,167,12-07-24
484,GUJRANWALA,1,85,23-07-24
