prod_log_id,prod_id,scheme_id,bonus_scheme,bonus_units,fp,tp,entry_date,remarks,type,bonus_status,mrp
373,64,5,100,25,258.68,279.65,14-06-24,New System Launched,1,CLOSED,0
374,64,6,100,25,272.83,294.95,14-06-24,Price Or Bonus Changed,1,CLOSED,0
375,65,1,100,35,294.84,318.75,14-06-24,Price Or Bonus Changed,1,CLOSED,0
376,66,1,100,40,43.24,46.75,14-06-24,New System Launched,1,CLOSED,0
377,66,2,100,50,43.24,46.75,14-06-24,New System Launched,1,CLOSED,0
378,66,3,100,40,51.11,55.25,14-06-24,New System Launched,1,CLOSED,0
379,66,4,100,40,56.54,61.12,14-06-24,New System Launched,1,CLOSED,0
380,66,5,100,40,58.18,62.9,14-06-24,Price Or Bonus Changed,1,CLOSED,0
381,67,1,100,0,38.53,41.65,14-06-24,Price Or Bonus Changed,1,CLOSED,0
382,68,1,100,25,156.46,169.15,14-06-24,Price Or Bonus Changed,1,CLOSED,0
383,69,1,100,0,313.71,339.15,14-06-24,Price Or Bonus Changed,1,CLOSED,0
384,70,1,100,30,235.88,255,14-06-24,Price Or Bonus Changed,1,CLOSED,0
385,72,1,100,40,109.29,118.15,14-06-24,Price Or Bonus Changed,1,CLOSED,0
386,73,1,100,0,76.27,82.45,14-06-24,Price Or Bonus Changed,1,CLOSED,0
387,74,1,100,25,235.09,254.15,14-06-24,Price Or Bonus Changed,1,CLOSED,0
388,75,1,100,40,69.98,75.65,14-06-24,New System Launched,1,CLOSED,0
389,75,2,100,40,90.42,97.75,14-06-24,New System Launched,1,CLOSED,0
390,75,3,100,40,188.7,204,14-06-24,Price Or Bonus Changed,1,ACTIVE,0
391,76,1,100,40,156.46,169.15,14-06-24,New System Launched,1,CLOSED,0
392,76,2,100,40,187.76,202.98,14-06-24,New System Launched,1,CLOSED,0
393,76,3,100,40,219.36,237.15,14-06-24,Price Or Bonus Changed,1,ACTIVE,0
394,77,1,100,40,275.19,297.5,14-06-24,Price Or Bonus Changed,1,CLOSED,0
395,78,1,100,0,77.84,84.15,14-06-24,Price Or Bonus Changed,1,CLOSED,0
396,79,1,100,70,141.53,153,14-06-24,New System Launched,1,CLOSED,0
397,79,2,100,70,177.69,192.1,14-06-24,New System Launched,1,CLOSED,0
398,79,3,100,70,209.14,226.1,14-06-24,New System Launched,1,CLOSED,0
399,79,4,100,70,271.26,293.25,14-06-24,New System Launched,1,CLOSED,0
400,79,5,100,70,352.63,381.23,10-09-24,New System Launched,1,ACTIVE,0
401,79,6,100,40,141.53,153,14-06-24,New System Launched,1,CLOSED,0
402,79,7,100,50,141.53,153,14-06-24,New System Launched,1,CLOSED,0
403,80,1,100,70,40.89,44.2,14-06-24,New System Launched,1,CLOSED,0
404,80,2,100,70,51.89,56.1,14-06-24,New System Launched,1,CLOSED,0
405,80,3,100,70,90.42,97.75,14-06-24,New System Launched,1,CLOSED,0
406,80,4,100,70,101.43,109.65,14-06-24,New System Launched,1,CLOSED,0
407,80,5,100,70,116.37,125.8,14-06-24,New System Launched,1,CLOSED,0
408,80,6,100,70,133.13,143.92,28-08-24,New System Launched,1,CLOSED,0
409,80,7,100,40,40.89,44.2,14-06-24,New System Launched,1,CLOSED,0
410,80,8,100,50,40.89,44.2,14-06-24,New System Launched,1,CLOSED,0
411,81,1,100,70,72.34,78.2,14-06-24,New System Launched,1,CLOSED,0
412,81,2,100,70,91.21,98.6,14-06-24,New System Launched,1,CLOSED,0
413,81,3,100,70,114.01,123.25,14-06-24,New System Launched,1,CLOSED,0
414,81,4,100,70,134.45,145.35,14-06-24,New System Launched,1,CLOSED,0
